State Name,Income,Avg Literacy Score,Attained BS or higher,population,affectweather,attragripests,attrairpollution,attrdroughts,attrflood,attrheat,attrhurricanes,attrpoweroutages,attrsealevels,attrsnowpack,attrtornados,attrwaterpollution,attrwatershortages,attrwildfires,citizens,congress,consensus,corporations,devharm,discuss,drillanwr,drilloffshore,exp,fundrenewables,futuregen,generaterenewable,governor,gwvoteimp,happening,harmplants,harmus,human,localofficials,mediaweekly,personal,president,priority,prioritycleanenergy,rebates,reducetax,regulate,teachgw,timing,transitioneconomy,worried
US,68531,,,258742321,65.545,49.012,55.681,60.598,58.324,64.265,57.822,47.156,57.829,52.669,53.237,48.277,54.91,62.595,60.592,60.361,57.186,67.736,67.573,36.307,33.499,52.416,48.911,76.144,70.943,76.516,54.666,56.029,71.473,70.328,62.929,58.86,55.286,28.056,44.464,56.228,52.864,62.521,75.271,67.082,74.013,77.3,57.971,66.292,63.334
Alabama,53175,213,28.9,3926251,53.353,40.336,45.88,45.895,43.695,52.78,46.982,37.36,44.117,37.692,43.944,39.196,40.524,46.45,53.377,53.154,45.755,60.875,59.218,27.238,37.364,63.941,40.875,71.38,60.743,71.512,50.565,48.474,60.681,60.439,54.63,50.35,50.402,21.341,37.846,49.553,43.338,55.783,71.157,60.96,69.054,73.491,49.763,56.522,52.862
Alaska,71616,202,32.2,555513,64.051,45.117,53.347,62.225,53.357,63.174,56.436,46.729,57.715,58.906,45.814,41.744,56.516,65.058,57.282,54.116,55.833,65.952,66.205,38.049,36.485,55.644,47.476,75.325,69.299,72.827,45.437,54.17,69.426,70.03,60.463,54.038,49.301,28.156,42.59,50.434,47.928,56.457,73.683,64.129,68.967,74.599,56.236,58.743,59.804
Arizona,61652,208,33.5,5673394,66.137,50.894,57.325,64.422,59.593,66.627,58.394,49.629,58.2,59.108,51.109,50.327,59.76,67.33,60.265,59.834,57.173,67.591,66.767,38.071,36.78,56.205,50.216,76.265,68.818,76.264,53.967,57.433,71.354,69.144,63.788,58.729,54.944,30.891,45.869,55.307,51.846,61.85,74.308,64.825,73.951,75.043,58.059,64.544,64.143
Arkansas,54347,210,26.2,2326772,54.695,39.166,43.11,49.838,46.702,53.556,44.262,36.665,44.753,38.217,43.097,38.551,44.226,51.329,52.085,50.312,44.867,59.612,61.523,28.32,40.278,60.689,41.644,68.715,64.953,68.301,49.453,48.928,63.981,64.223,54.828,49.186,48.065,21.993,37.725,47.507,43.453,53.59,69.669,58.566,65.738,70.794,50.408,53.603,53.735
California,80423,212,37.5,30513773,70.963,55.05,62.373,70.123,63.814,72.759,62.435,56.386,64.005,62.515,56.728,53.963,64.629,71.816,64.74,64.897,62.986,70.577,73.793,43.124,30.047,42.98,57.282,78.062,76.596,80.25,54.665,61.218,76.86,76.206,69.502,64.76,59.089,31.246,51.908,61.09,61.692,67.713,78.131,71.019,76.093,79.669,64.579,71.836,70.538
Colorado,78918,221,46.4,4569893,70.281,53.315,59.09,69.833,61.666,70.511,62.639,51.391,61.841,65.565,51.442,49.792,62.622,71.622,63.125,61.124,61.711,70.412,69.571,42.497,30.956,45.979,51.089,77.132,73.16,76.952,50.7,57.623,72.954,72.65,64.964,59.982,53.846,35.526,45.774,54.726,52.629,64.76,75.62,65.472,73.984,76.023,59.316,70.882,65.868
Connecticut,87447,219,42.9,2864347,72.462,53.755,59.475,64.739,67.617,69.975,63.408,51.577,64.733,63.713,63.166,53.031,60.88,70.396,65.026,65.813,65.001,72.056,73.547,39.375,31.348,50.354,51.628,80.58,79.013,80.251,58.179,56.847,76.004,77.41,68.342,64.435,57.397,29.891,44.767,61.09,58.694,68.497,79.837,71.376,78.43,82.889,62.265,73.316,70.809
Delaware,65392,210,36.5,795474,66.658,50.132,55.948,61.336,59.164,66.721,60.074,46.828,57.197,47.868,52.981,48.334,52.745,61.208,61.61,62.125,58.424,68.708,68.235,36.602,32.524,49.418,49.649,75.957,71.165,77.922,55.268,57.395,71.722,69.929,63.147,57.703,57.103,30.065,45.525,56.889,54.907,65.074,76.307,65.778,74.807,77.631,58.673,72.873,62.352
District of Columbia,100909,209,65.9,546403,82.243,66.574,72.919,80.206,78.816,84.227,78.764,63.19,76.8,63.799,67.908,64.468,71.594,80.349,73.257,76.249,74.628,79.499,81.46,49.767,21.971,30.334,65.617,84.351,83.815,85.041,67.454,72.099,85.032,82.953,75.746,69.755,69.022,38.71,58.638,70.228,71.337,78.225,83.029,77.005,83.21,86.914,73.156,85.808,76.281
