State Name,Income,Avg Literacy Score,Attained BS or higher,population,affectweatherOppose,attragripestsOppose,attrairpollutionOppose,attrdroughtsOppose,attrfloodOppose,attrheatOppose,attrhurricanesOppose,attrpoweroutagesOppose,attrsealevelsOppose,attrsnowpackOppose,attrtornadosOppose,attrwaterpollutionOppose,attrwatershortagesOppose,attrwildfiresOppose,citizensOppose,congressOppose,consensusOppose,corporationsOppose,devharmOppose,discussOppose,drillanwrOppose,drilloffshoreOppose,expOppose,fundrenewablesOppose,futuregenOppose,generaterenewableOppose,governorOppose,gwvoteimpOppose,happeningOppose,harmplantsOppose,harmusOppose,humanOppose,localofficialsOppose,mediaweeklyOppose,personalOppose,presidentOppose,prioritycleanenergyOppose,priorityOppose,rebatesOppose,reducetaxOppose,regulateOppose,teachgwOppose,timingOppose,transitioneconomyOppose,worriedOppose
US,68531,,,258742321,5.612,28.046,28.735,25.443,27.131,23.921,27.092,33.5,27.397,25.998,28.474,32.181,28.286,25.06,15.059,22.025,21.534,14.434,20.665,63.693,66.501,47.584,51.089,23.856,18.142,23.484,19.183,34.585,13.486,19.386,27.853,29.034,17.998,71.944,45.806,20.043,11.817,24.144,24.729,32.918,25.987,22.7,42.029,33.708,36.666
Alabama,53175,213,28.9,3926251,6.914,34.056,35.332,33.27,35.597,28.041,34.176,37.094,34.767,32.454,36.29,37.696,34.402,33.763,18.785,26.734,24.984,16.809,25.001,72.762,62.636,36.059,59.125,28.62,24.403,28.488,19.909,41.984,17.556,24.807,32.227,36.27,19.48,78.659,48.531,25.086,15.279,31.571,28.843,39.04,30.946,26.509,50.237,43.478,47.138
Alaska,71616,202,32.2,555513,5.865,30.449,31.781,26.936,31.888,27.006,28.923,37.101,28.968,28.522,32.376,38.677,30.03,26.777,16.904,28.781,22.893,15.353,23.25,61.951,63.515,44.355,52.524,24.675,20.721,27.174,26.384,35.154,16.19,21.425,31.554,33.769,21.792,71.844,49.552,25.456,12.891,30.32,26.317,35.871,31.033,25.401,43.763,41.257,40.196
Arizona,61652,208,33.5,5673394,5.531,27.894,27.322,25.2,27.443,23.754,26.713,32.989,28.754,26.306,28.475,30.505,27.765,23.35,14.341,23.316,22.625,14.129,21.717,61.929,63.22,43.796,49.784,23.735,19.656,23.736,19.002,33.018,14.389,20.553,27.392,29.244,18.684,69.109,44.561,20.453,11.673,26.763,25.692,35.175,26.049,24.957,41.941,35.456,35.857
Arkansas,54347,210,26.2,2326772,7.733,35.415,36.428,35.023,38.26,32.173,36.624,45.485,37.788,34.726,38.488,39.022,38.372,34.456,19.878,29.197,26.595,17.105,24.981,71.68,59.722,39.31,58.356,31.285,22.422,31.699,21.097,41.404,19.286,24.826,34.064,36.536,21.659,78.007,49.863,27.844,16.481,31.115,30.331,41.434,34.262,29.206,49.592,46.398,46.265
California,80423,212,37.5,30513773,4.684,24.098,24.378,18.652,22.565,18.108,22.671,28.581,23.105,21.555,23.302,27.288,22.132,19.214,13.904,20.073,18.319,14.051,15.918,56.876,69.953,57.02,42.718,21.938,14.04,19.75,22.188,29.703,10.51,14.865,22.583,24.229,17.853,68.754,38.891,17.133,9.717,19.307,21.869,28.981,23.907,20.331,35.421,28.164,29.462
Colorado,78918,221,46.4,4569893,5.344,23.94,27.573,20.569,24.777,21.471,23.194,31.091,24.691,23.227,27.406,30.676,24.545,21.036,13.149,22.641,21.694,12.745,20.618,57.503,69.044,54.021,48.911,22.868,16.81,23.048,22.019,32.55,12.863,18.621,27.914,28.08,18.415,64.474,47.454,19.833,10.293,25.581,24.38,34.528,26.016,23.976,40.684,29.118,34.132
Connecticut,87447,219,42.9,2864347,5.107,26.405,25.466,22.341,21.405,20.443,24.069,30.859,21.998,19.911,23.406,29.427,23.723,20.78,11.842,16.279,18.609,12.882,18.558,60.625,68.652,49.647,48.372,19.42,13.763,19.749,15.253,34.14,10.894,15.554,25.157,23.642,15.371,70.109,47.334,15.732,9.859,18.507,20.163,28.624,21.57,17.111,37.735,26.684,29.191
Delaware,65392,210,36.5,795474,5.582,23.79,28.957,21.579,21.786,19.718,25.675,27.372,25.762,23.458,27.998,29.582,24.474,22.452,15.772,20.845,21.545,13.738,19.615,63.398,67.476,50.582,50.351,24.043,17.295,22.078,18.654,33.305,12.443,19.552,27.264,28.416,17.496,69.935,44.293,19.523,10.371,21.236,23.692,34.222,25.193,22.369,41.327,27.127,37.648
District of Columbia,100909,209,65.9,546403,3.233,13.747,17.108,10.552,10.411,9.022,13.83,18.289,14.252,12.851,15.381,19.628,13.52,10.593,9.774,12.121,14.25,9.364,11.573,50.233,78.029,69.664,34.383,15.649,9.182,14.959,12.346,20.469,5.855,10.578,17.548,19.045,12.428,61.29,34.79,10.763,5.661,11.179,16.971,22.995,16.79,13.085,26.845,14.192,23.719
Florida,68248,218,34.9,17623516,5.619,26.907,28.746,25.631,25.139,22.289,27.585,33.577,28.977,27.188,28.82,30.469,28.001,26.102,15.592,21.323,22.059,13.827,21.414,65.295,66.355,51.697,50.59,23.604,18.74,22.699,15.473,32.88,13.551,19.919,28.15,30.063,17.785,71.483,45.317,20.415,11.538,23.929,25.094,34.432,25.176,21.834,41.952,30.142,37.899
Georgia,58581,214,35.4,8280518,5.293,26.694,28.644,30.045,27.541,24.521,26.185,35.137,27.635,26.616,28.322,32.286,29.984,26.17,16.173,21.982,21.277,14.974,22.479,68.278,61.478,44.267,52.331,24.821,20.318,23.739,17.925,34.652,13.285,21.12,28.522,31.677,16.787,75.545,43.587,19.97,11.437,26.974,26.611,32.883,26.927,23.325,42.197,31.388,38.853
Hawaii,65151,216,37,1144164,4.693,26.569,24.484,22.024,22.114,19.334,24.539,29.05,24.371,22.24,24.378,28.127,25.713,19.578,14.726,20.463,19.14,14.471,16.81,57.124,69.404,53.572,42.104,18.897,14.538,18.28,18.634,29.864,11.173,16.105,23.493,23.306,18.47,70.873,40.822,18.787,9.518,18.465,20.504,29.187,23.9,19.22,36.281,25.388,30.773
Idaho,59035,216,32.1,1430132,6.584,39.024,32.761,36.439,36.331,33.85,34.685,44.405,36.338,32.68,34.779,39.666,37.159,32.904,16.171,27.457,26.253,16.637,26.114,66.49,65.631,46.83,57.05,24.22,24.795,27.079,19.778,41.498,18.705,24.375,33.297,32.217,20.339,74.211,53.058,25.367,15.673,33.021,26.404,39.219,29.664,25.515,49.278,45.07,41.994
Illinois,70953,214,38.3,9883773,5.124,26.337,26.702,23.056,24.402,23.377,24.164,30.719,23.283,24.046,26.551,30.791,27.29,23.241,13,19.464,20.297,12.959,18.899,62.825,67.802,47.558,51.08,20.393,15.829,22.612,17.657,33.796,11.926,16.766,26.046,27.89,16.25,71.902,45.814,18.113,10.224,21.119,21.842,29.694,22.479,22.172,40.187,30.902,35.339
Indiana,60038,220,30.2,5215683,7.202,33.238,34.278,29.941,30.831,28.956,34.455,36.291,30.429,29.642,36.389,36.366,31.912,30.333,17.641,27.115,25.797,16.406,24.676,69.422,63.687,41.139,59.065,27.647,22.351,28.186,20.026,40.643,18.153,24.305,32.942,34.793,19.918,75.083,49.715,24.971,14.648,30.673,26.241,38.899,28.781,28.735,48.951,41.646,46.266
