State Name,Income,Avg Literacy Score,Attained BS or higher,population,Electoral Votes,EV for Kamala,EV for Trump,Votes for Kamala,Votes for Trump,Votes for Kennedy,Votes for Oliver,Votes of Stein,Total Votes,affectweather,attrdroughts,attrflood,attrheat,attrhurricanes,attrsealevels,attrwatershortages,attrwildfires,consensus,devharm,drillanwr,drilloffshore,happening,human,timing
US,68531,,,258742321,538,312,226,75017613,77302580,756393,650126,862049,155238302,65.545,60.598,58.324,64.265,57.822,57.829,54.91,62.595,57.186,67.573,33.499,52.416,71.473,58.86,57.971
Alabama,53175,213,28.9,3926251,9,9,0,772412,1462616,12075,4930,4319,2265090,53.353,45.895,43.695,52.78,46.982,44.117,40.524,46.45,45.755,59.218,37.364,63.941,60.681,50.35,49.763
Alaska,71616,202,32.2,555513,3,3,0,140026,184458,5670,3040,2342,338177,64.051,62.225,53.357,63.174,56.436,57.715,56.516,65.058,55.833,66.205,36.485,55.644,69.426,54.038,56.236
Arizona,61652,208,33.5,5673394,11,11,0,1582860,1770242,0,17898,18319,3390161,66.137,64.422,59.593,66.627,58.394,58.2,59.76,67.33,57.173,66.767,36.78,56.205,71.354,58.729,58.059
Arkansas,54347,210,26.2,2326772,6,6,0,396905,759241,13255,5715,4275,1182676,54.695,49.838,46.702,53.556,44.262,44.753,44.226,51.329,44.867,61.523,40.278,60.689,63.981,49.186,50.408
California,80423,212,37.5,30513773,54,0,54,9276179,6081697,197645,66662,167814,15865475,70.963,70.123,63.814,72.759,62.435,64.005,64.629,71.816,62.986,73.793,30.047,42.98,76.86,64.76,64.579
Colorado,78918,221,46.4,4569893,10,0,10,1728159,1377441,35623,21439,17344,3192745,70.281,69.833,61.666,70.511,62.639,61.841,62.622,71.622,61.711,69.571,30.956,45.979,72.954,59.982,59.316
Connecticut,87447,219,42.9,2864347,7,0,7,992053,736918,8448,6729,14281,1759010,72.462,64.739,67.617,69.975,63.408,64.733,60.88,70.396,65.001,73.547,31.348,50.354,76.004,64.435,62.265
Delaware,65392,210,36.5,795474,3,0,3,289758,214351,4636,2038,914,512912,66.658,61.336,59.164,66.721,60.074,57.197,52.745,61.208,58.424,68.235,32.524,49.418,71.722,57.703,58.673
District of Columbia,100909,209,65.9,546403,3,0,3,294185,21076,2778,0,0,325869,82.243,80.206,78.816,84.227,78.764,76.8,71.594,80.349,74.628,81.46,21.971,30.334,85.032,69.755,73.156
Florida,68248,218,34.9,17623516,30,30,0,4683038,6110125,0,31972,43155,10893752,64.728,58.815,59.04,65.324,58.429,56.655,52.601,59.221,57.071,67.071,33.645,48.303,72.475,57.603,58.048
Georgia,58581,214,35.4,8280518,16,16,0,2548017,2663117,0,20684,18229,5250905,62.687,53.963,55.124,60.854,54.871,56.659,50.898,58.861,52.439,62.075,38.521,55.733,68.191,56.048,57.803
Hawaii,65151,216,37,1144164,4,0,4,313044,193661,0,2733,4387,516701,71.811,68.692,64.855,72.455,65.339,64.754,63.648,71.753,64.581,75.571,30.596,46.428,77.384,64.233,63.719
Idaho,59035,216,32.1,1430132,4,4,0,274972,605246,12812,4462,2973,905057,60.215,52.431,52.439,55.695,51.331,50.421,52.405,57.909,52.715,62.166,34.369,53.17,67.21,54.123,50.721
Illinois,70953,214,38.3,9883773,19,0,19,3062863,2449079,80426,3510,31023,5633310,68.83,65.119,63.513,67.612,62.874,62.563,57.927,66.486,57.935,69.431,32.198,52.442,73.85,61.09,59.813
Indiana,60038,220,30.2,5215683,11,11,0,1163603,1720347,29325,20425,0,2936677,58.756,53.697,51.849,56.577,49.427,50.247,46.957,53.558,49.091,60.92,36.313,58.86,64.308,51.836,51.049
