State Name,Income,Avg Literacy Score,Attained BS or higher,population,Electoral Votes,EV for Kamala,EV for Trump,Votes for Kamala,Votes for Trump,Votes for Kennedy,Votes for Oliver,Votes of Stein,Total Votes,affectweather,attrdroughts,attrflood,attrheat,attrhurricanes,attrsealevels,attrwatershortages,attrwildfires,consensus,devharm,drillanwr,drilloffshore,happening,human,timing
US,68531,,,258742321,538,312,226,"75,017,613","77,302,580","756,393","650,126","862,049","155,238,302",65.545,60.598,58.324,64.265,57.822,57.829,54.91,62.595,57.186,67.573,33.499,52.416,71.473,58.86,57.971
Alabama,53175,213,28.9,3926251,9,9,0,"772,412","1,462,616","12,075","4,930","4,319","2,265,090",53.353,45.895,43.695,52.78,46.982,44.117,40.524,46.45,45.755,59.218,37.364,63.941,60.681,50.35,49.763
Alaska,71616,202,32.2,555513,3,3,0,"140,026","184,458","5,670","3,040","2,342","338,177",64.051,62.225,53.357,63.174,56.436,57.715,56.516,65.058,55.833,66.205,36.485,55.644,69.426,54.038,56.236
Arizona,61652,208,33.5,5673394,11,11,0,"1,582,860","1,770,242",0,"17,898","18,319","3,390,161",66.137,64.422,59.593,66.627,58.394,58.2,59.76,67.33,57.173,66.767,36.78,56.205,71.354,58.729,58.059
Arkansas,54347,210,26.2,2326772,6,6,0,"396,905","759,241","13,255","5,715","4,275","1,182,676",54.695,49.838,46.702,53.556,44.262,44.753,44.226,51.329,44.867,61.523,40.278,60.689,63.981,49.186,50.408
California,80423,212,37.5,30513773,54,0,54,"9,276,179","6,081,697","197,645","66,662","167,814","15,865,475",70.963,70.123,63.814,72.759,62.435,64.005,64.629,71.816,62.986,73.793,30.047,42.98,76.86,64.76,64.579
Colorado,78918,221,46.4,4569893,10,0,10,"1,728,159","1,377,441","35,623","21,439","17,344","3,192,745",70.281,69.833,61.666,70.511,62.639,61.841,62.622,71.622,61.711,69.571,30.956,45.979,72.954,59.982,59.316
Connecticut,87447,219,42.9,2864347,7,0,7,"992,053","736,918","8,448","6,729","14,281","1,759,010",72.462,64.739,67.617,69.975,63.408,64.733,60.88,70.396,65.001,73.547,31.348,50.354,76.004,64.435,62.265
Delaware,65392,210,36.5,795474,3,0,3,"289,758","214,351","4,636","2,038",914,"512,912",66.658,61.336,59.164,66.721,60.074,57.197,52.745,61.208,58.424,68.235,32.524,49.418,71.722,57.703,58.673
District of Columbia,100909,209,65.9,546403,3,0,3,"294,185","21,076","2,778",0,0,"325,869",82.243,80.206,78.816,84.227,78.764,76.8,71.594,80.349,74.628,81.46,21.971,30.334,85.032,69.755,73.156
Florida,68248,218,34.9,17623516,30,30,0,"4,683,038","6,110,125",0,"31,972","43,155","10,893,752",64.728,58.815,59.04,65.324,58.429,56.655,52.601,59.221,57.071,67.071,33.645,48.303,72.475,57.603,58.048
Georgia,58581,214,35.4,8280518,16,16,0,"2,548,017","2,663,117",0,"20,684","18,229","5,250,905",62.687,53.963,55.124,60.854,54.871,56.659,50.898,58.861,52.439,62.075,38.521,55.733,68.191,56.048,57.803
Hawaii,65151,216,37,1144164,4,0,4,"313,044","193,661",0,"2,733","4,387","516,701",71.811,68.692,64.855,72.455,65.339,64.754,63.648,71.753,64.581,75.571,30.596,46.428,77.384,64.233,63.719
Idaho,59035,216,32.1,1430132,4,4,0,"274,972","605,246","12,812","4,462","2,973","905,057",60.215,52.431,52.439,55.695,51.331,50.421,52.405,57.909,52.715,62.166,34.369,53.17,67.21,54.123,50.721
Illinois,70953,214,38.3,9883773,19,0,19,"3,062,863","2,449,079","80,426","3,510","31,023","5,633,310",68.83,65.119,63.513,67.612,62.874,62.563,57.927,66.486,57.935,69.431,32.198,52.442,73.85,61.09,59.813
